QueryId,Query Description
1402,My shadowmere died
327,What type of armor should I use as a thief?
761,Max Resistance in Diablo 3
908,How to stop downloading a game in Steam?
311,Connect Xbox 360 Video to HDMI & audio to Subwoofer
1540,Can a friend connect to my singleplayer world over the internet?
1343,Giving money to friends in GTA 5 online
1350,Set home in any world Starbound
1442,No hostile mobs spawning
851,CS Go having problem playing with friends
50,How do you cope with nausea in FPS?
1247,Plants vs. Zombies 2 Piñata Party mini-game location?
964,How do I equip armor?
422,Why does Clairvoyance always point me in the wrong direction?
819,How do I get Showcases?
365,What are the advantages/disadvantages of having a light/dark side alignment of the opposing side?
466,In Assassin's Creed Revelation what does the assassin symbol - x% mean on books
1090,Where are the slaughter arenas?
65,"As a bronze league hopeful, is it better to focus on one race or should I keep playing as random?"
1477,Does sparkflint familiar emit fire damage or arcane damage
1036,How do enemies scale in Borderlands 2?
486,Are there multiple levels of difficulty to unlock in Mass Effect 3?
1035,When gaining level should we just kill enemies or do quests?
344,What gives higher experience in smithing?
877,Do your items ever get destroyed in combat?
938,Install and play games on Steam solely from an External Drive?
1025,Is there a way to purify polluted ground?
67,When is the latest I can complete the Wild Card quests?
116,"How can I make the military's life harder?   (In Just Cause 2, that is)"
1100,How to save a copy of a multiplayer world in the new 0.7+ menus?
1061,Karliah not showing up at the Ragged Flagon after Hard Answers
1062,How do I get more Berserk potions
979,What balance changes were made between the final Wings of Liberty Patch and Heart of the Swarm?
299,How do I cure Sanguinare Vampiris?
657,Can I see what difficulty I am playing?
1236,Cannot find Underground Jungle Temple
796,How can I beat the final boss in Faster Than Light?
944,Blade of the Ruined King Vs. The Bloodthirster
154,How can I re-spec my abilities in The Witcher 2?
1012,"Will cities in my region produce money, oil and resources etc. while building another city?"
47,Is there a way to make StarCraft 2 remember my battle.net password?
1151,Does any skill have a global cooldown?
762,What plane type will I need to go transatlantic in Pocket Planes?
285,"How do I continue the Companions' quest line after ""Blood's Honor""? (encountered the ""Forever Mourning"" bug)"
1514,How do I reset the Super Secret Settings?
1577,How to make a villager move out in Animal Crossing New Leaf?
291,Where can I find Daedra hearts?
1213,What makes you lose the Field Upgrade Score?
772,What is the best way to mine through lava?
771,Weapon Speed and AIS
770,DW weapon slotting - weapon speed
1429,Do the rules that apply to a lava block apply to the run off from the lava block?
40,What happens if I activate a product key on Steam for a game I already own?
873,In what ways can a game of XCOM:EU end?
872,How do I begin playing DLC?
455,Is magic a powerful and effective offensive class on skyrim from level 1 onwards?
526,Maximum Champion Growth size
589,"Is there a cap on how powerful you can make ""fortify enchanting""?"
1355,What happens when a bounty expires?
1114,How do I evolve Kadabra to its final form without trading it?
942,Is it possible to move some steam games to a different library location (without re-downloading them?)
1075,"Minecraft game play is red & blue, but title is gray"
367,Purpose of one-eyed statue in Skyloft?
1322,How do I make signals in dota?
1476,Do enemy abilities level up at the same time as player abilities in Diablo 3?
410,Is it possible to get skyrim mods on xbox 360?
64,What does StarCraft 2 campaign difficulty affect?
676,Do I get less experience if a high-level friend accompanies me?
484,Can PC saves be imported into console version of Mass Effect 3?
165,How can I use my PS3 controller with my PC?
520,Why does the connection time out when connecting to a server?
976,How can I run a Minecraft Server on multiple CPU cores?
1526,Gearing your Templar with class opposite?
551,What makes a champion a good jungler
767,What are the differences between levels of the Vintage Pyrovision Goggles?
1223,GTA 5 Car weak spot?
1199,How do I download Minecraft 1.6.4?
19,"How to lower the ""heat"" level in Just Cause 2?"
1423,Mega ring problem in Pokemon X
700,Is it possible to lock the action bar?
1028,Can you go back to the Blue Ribbon Restaurant?
387,How do you breed animals?
386,I've missed the use the wind achievement. How can I get it without losing my save file?
1237,Where can I find a light ball for Pikachu?
198,How can I run Diablo II on Mac OS X 10.7 (Lion)?
1554,I'm having trouble getting Derkeethus out of the cave
723,"Inferno Act 1 Gold Farming, Skeleton King vs. Butcher"
1306,My TDS does not earn any credits while I am not playing
630,Can I have more than one weapon set?
631,Is magical/enchanted damage more effective against certain types of monsters than others?
875,Diablo3 Cutscenes - Watch them again?
874,Is there any way to cancel my mind control on an enemy alien?
1160,Shawdomere died and I can't get him back
1458,Problems leveling up
1171,How do I get item drops?
1030,How do I make a 1 minute delay circuit?
1430,How much higher is the legendary drop rate in the Torment difficulties?
595,How much knockback does a normal punch do?
1086,Is it possible to win a level after the countdown from firing your gun is over?
1464,When is the next day?
1508,Does running away from pokemon while chaining stop the chain?
528,Can I play multiplayer across different platforms?
581,How much damage is dealt per Newton of force?
572,How do I activate the Daedric gauntlet in the Midden?
129,Can you turn weather off in Minecraft?
1362,Minecraft gave up trying to download files
793,I teleported too far away and now the game crashes on world load
427,Why can't I defeat Paarthurnax?
984,Can I install PS3 games on an external hard drive?
494,How can I shatter the cockpit of an Atlas?
552,"What are the two 'hidden' achievements, and how do I get them?"
1245,What are effective PvP strategies in Minecraft?
728,Do the glowing pillars in The Storm Halls do anything?
505,How do I establish peace between the Geth and the Quarians?
519,How do I give gifts?
265,How do I remove arrows stuck in my body?
1182,"Where do I enter cheats, and what do they do?"
185,Pyro Tactics and Tips?
746,How do I convert a city to my religion?
1400,Diamonds on Minecraft
86,How does rune combiner work?
87,How can I keep monsters out of my nether regions?
868,Can I configure my PS3 to display videos not larger than my screen?
1258,How do you reach the chest in the desert fortress?
425,Lowest reasonable level to take on giants?
210,"What do I do after ""Defending the Rift""?"
690,What is the difference between blue and yellow shining enemies?
1405,How to become better at super smash bros brawl?
353,Do sheep regrow their wool in Minecraft 1.0?
884,Why can't I log in to Minecraft? unknown username or password
123,How to access squad members' additional outfits
1106,What do Steam Profile levels do?
488,What does Fortification do?
1065,How is xp calculated when overleveled?
1083,how do I view the map not the mini map in assassins creed III on ps3
635,How can I find the hidden level?
442,Can I have too many mods?
1532,Stopped getting imperial assignments
516,What are all the skills and special abilities of each multiplayer class?
933,Can I restore my wiped out religion in Civ 5 Gods and Kings?
146,Where did Malena run off to?
1149,Do I need to be influential with my human teammate to win Tourism Victory?
992,How does equipment scale regarding sidekicking and WvW?
584,"Can followers (templar, enchantress, scoundrel) die?"
160,What happens when two players play the same game at different difficulties?
294,What is a reliable way to determine if a container is safe?
1010,Why can't I adopt children despite having a steading in Falkreath?
725,Is there a way to change the skills so that right mouse is not always secondary
660,I appear to be offline when I'm online
672,How do I know what levels enemy monsters are at?
732,What stats are best for casters (Wizard/Witch Doctor) doing Inferno?
1200,Xbox 360 Disc 2 Uninstall? GTA V
1467,Is there an additional reward for completing all bounties in all acts in a single game?
507,"""Secret"" ending in Mass effect 3?"
777,How do I ward properly in DotA 2?
1178,Hotkey to send hero back to base
0,World of Warcraft Leveling Guide
283,Is a horse actually faster than running?
1136,"Is the ""no kills"" ending the same as the ""low chaos"" ending?"
49,Does having more than 3 worker per resource point decrease gathering efficiency?
891,Which class has the Highest DPS against tanks on wave 666?
1302,Do you get trading cards faster when the game has the focus?
887,What is the purpose of having banned champions in ranked League of Legends games?
328,How am I supposed to kill the frost troll?
856,What is this red cross next to my weapon?
1088,How can I import patterns via QR code?
587,How can I turn off the bot spam messages?
1393,What determines the amount of XP gained?
511,Default Starting Conditions for new characters?
1021,I heard that Starcraft 2 now has something called global play?
644,How/where can I farm gems?
949,How can I recover my password?
152,What's the deal with VSync?
1311,can i convert steam games in my library to my steam gift inventory?
839,Under what conditions does loot despawn?
226,Can hostile mobs spawn on leaves in Minecraft Beta 1.8 or higher?
1174,"Dumping a unconscious enemy to the water, counts as a kill?"
696,Does a companion gain experience for me?
304,How do you spend experience in Minecraft?
869,How do I get a Seraph Crystal?
677,"What chests count for ""Chestmaster 2000""?"
139,Starcraft 2 maintaining unit formations
556,I am currently on fire. Can I survive this?
481,Can I do anything about a grenade in Mass Effect 3?
1054,How do I take a screenshot on Mass effect 3?
1303,How do I finish the Lighthouse Cyclops' Puzzle?
58,What's the most efficient Minecraft mining strategy?
59,How do I quickly create a safe shelter?
1056,Is the .minecraft folder hidden on a Mac?
1501,What is the difference between the two Police Stations?
1444,How to get xbox one to read from dlna
987,Does the Lucky Foot affect the Slot machine or not?
112,Can I connect a wireless Xbox 360 controller to PC with a play & charge cable?
94,How can I put Brood War into a window?
989,What are all the commands for singleplayer minecraft?
782,Diablo 3 - Hardcore Leveling Chart
331,How is Experience handled with Companions?
330,Is there a downside to using heavy armor as a mage?
1592,How to get the Pokeflute in Firered and Leafgreen?
966,What effects to does a higher skill level have
471,I broke my Quarian. Do I get a replacement?
698,"Why do some items that increase attack speed work, and others don't?"
1273,How can I run Minecraft 1.6.4 on 1.7.2 client?
1505,How does the degrading of the food bar work?
702,Is Plague of Toads as unhelpfull as it seems?
710,Which Trinkets are available in Wrath of the Lamb?
109,What are the best attack combos to use in Magicka in early game and what are they?
1138,Why Can't I Use A Filter In MCEdit?
632,Is there any application that can help limit my gaming time?
806,Is MF gear swapping still working?
446,"I get a ""bad login"" message when trying to play multiplayer"
1020,"Is there anyway I can get my house carl, Lydia back?"
374,Do quest items weigh anything?
465,What are the main changes made to the game going from Civilization IV to V?
1499,is there a mod that clones a place from a world and transfers to another world
1396,Arena keys and corresponding wins
1290,"How can I export all item IDs, metadata and names? [FTB 1.4.7 Mindcrack]"
1576,Can I play my PSOne games (previously bought for PS3) on PS Vita ?
609,"How can I click to walk to a mob, instead of attacking it?"
163,How can I drain an area easily?
1490,Will the Rotation games stay forever even after new rotation?
786,Does Nocturnes ultimate cancel out Twisted fates? And vice versa?
213,Can I generate a new Nether in Minecraft?
579,Are there any penalties for swapping out heroes?
1427,is it possible to play a Japanese Xbox 360 game on a US Xbox 360 console?
301,How to play a mage in Skyrim?
705,What is the cap for equipment modifiers?
847,Borderlands 2 lost save character Playstation 3
883,Double cursor in Skyrim
126,How can I determine the bottleneck in my gaming rig?
835,How much do various delay options actually delay the fleet?
1153,What do I need disk space on a Xbox 360 for?
36,Does matter to match furniture built with the same kind of wood?
912,How to avoid 6GB download after restoring current TF2 backup on another PC?
1482,Ways to earn money in GTA SA
517,Can I change my character's face?
850,What happens if you get all Vault signs on the slots?
1461,How do I get the Wings of Valor Pre-order bonus?
555,How do players link Alistar's Headbutt and Pulverize in an instant?
918,How do I reduce notoriety in the woods?
1252,How to get past the ceiling monster?
764,What pairs of champions make a good kill lane bot?
974,Skyrim won't let me use the dragon souls I have to unlock shouts
1176,Help with Animal Crossing save transfer
838,How is extra damage done by explosive weapon calculated?
1233,"Is it true that cities only use resources within 3 tiles from your city, no matter your city borders?"
280,Skeleton key. Return or keep?
950,How can I get rid of this account-bound item?
1257,"What are all the correct answers to the Squirrel's questions, and what is the reward when I get them all correct?"
110,"Why can't I mine diamond, gold ore, or redstone ore?"
314,Is it possible to return to Skuldafn?
209,How do you open the barred doors in the Binding of Isaac?
833,Where is Jimmy Jenkins?
1092,Which champion goes in which lane?
1560,Toon VS Character VS Sprite
1107,Is it possible to get all your stats to 100 in Skyrim?
617,"Should I sell my magic items, or salvage them?"
1167,How come the AI makes like 3000 gold per turn on warlord?
217,Binding of Isaac soundtrack
456,Do cities received through a trade have any special properties? 
811,How can I activate a game bought from the Mac App Store on Steam?
901,Do I need to pick up every single thing?
954,How can I mine redstone ore?
433,"Skyrim Shouter build (no weapon, no spells)"
664,What determines revive time?
1398,Do Dota 2 battle point boosters stack?
603,How does Magic Weapon (and its runed varieties) interact with other skills?
602,Can I change the language the game client uses?
1272,Max number of spies
1129,"After beating the final boss, can I return to the original castle?"
273,Pick things up but not take them
229,What are the advantages and disadvantages of being in human form?
84,Can I transfer an installation?
936,Minecraft 1.4.6 Force Update Problem
1513,How is Clan War Map position determined?
399,How does regeneration work?
1077,Anti-mob houses in Minecraft?
613,Where are all the random dungeons?
1042,Can I send money to my friend's Steam wallet?
759,Do my brothers have to download or have another 10GB worth of files to play TF2 on their account?
1063,Guild wars 2 server population
1587,Mod installation
1277,Where is the asterisk for a pogo stick on candy box 2?
1415,How can I make it so people can't join on my minecraft pe world even when they are on the wifi zone?
659,Is it possible to transfer items between my characters in Diablo III?
525,How can I give my follower a horse?
296,Can you steal from someone's house without being caught?
787,Minecraft skin script
1567,Herobrine can i still get him on my worlds?
1207,PS3 Data Management
417,How can I enable Civ 5 mods on Mac OS X?
1414,Which level in tiny death star has the highest stock quantity?
1275,How can I revert to a recently saved game in borderlands 2?
83,Does Steam store my savegames?
351,I want a divorce! What's the most painless way of obtaining one?
1571,Minecraft Scoreboard stat.mineBlock won't work?
428,Is there a limit to how tall my Tower can be?
1484,Which follower to use for Crusader?
1455,How Can I Tell If I Bought a Pirated Pokemon Game?
1043,How many dragons are there in Skyrim?
1096,How many town ordinances can I enact at a time?
72,"How can I complete all ""armory"" achievements?"
1115,What do silver/gold tools do and how can I get them?
475,Are there any ways to get Realm Gold without a credit card?
662,Why does Diablo stop attacking at extremely low life?
441,How can I increase my carrying capacity?
1518,Can I view which cities are low on food or have no food without clicking each one?
549,What is the maximum amount of cooldown reduction I can get?
611,How can I check the total played time of a character?
502,Where is Kasumi after completing the mission with her?
264,How do I use the Ring of Hircine and become a werewolf?
1216,Scala library error when launching Forge for Minecraft 1.6.4
439,Where does The Darkness II keeps its save files?
476,Is it possible to respec in multiplayer?
718,Does everyone in the party get the same item drop?
242,Where can I legally download SIM Farm?
1278,How does the game determine what box a caught Pokemon will be sent to?
737,Can you get three stars on all Angry Birds Space levels using only one bird?
948,Will the corruption/hallow be able to jump across my shaft?
965,Team Fortress 2 won't install on custom location
1143,"What does the ""fast forward"" mission feature in Borderlands 2 do?"
792,Companions will no longer give me radiant quests
1390,how do i get power armour training in fallout new vegas
1132,Does multiplayer progress carry over between platforms?
1186,"Should I take ""One Mind"" if I want to continue to play?"
932,"Turning fullscreen on made Minecraft crash, and now it crashes on start every time"
695,Is there a list of the 'levels allowed' range for joining public games of a particular quest and difficulty?
12,"What is ping, and why is it important?"
654,Why can't Monks equip two-handed maces?
496,Do I earn enough skill points to unlock everything?
643,How do I get Blacksmith Plans in Diablo 3?
990,How do you defeat Sigdis Gauldurson?
147,Left 4 Dead 2 - purchase non low violence version?
343,What crimes can a Thane commit without punishment?
180,How do Minecraft biomes work?
128,How can I extract the full audio or get subtitles of GLaDOS's sentences in Portal 2?
41,Where are favored indicators located and how do you interpret them?
1408,Can a new save withdraw from the pokemon bank?
862,How does enemy progression work?
329,Where is Lydia's home?
1531,What Terraria content is unique to IOS?
438,im in single player minecraft and im lost
1125,Can you play a map on Multiplayer?
1126,"Why won't my follower, Serana, follow me?"
11,Where do I download the manuals for games I buy on Steam?
876,Is it possible to restart story missions in Borderlands 2?
171,How to enable trajectory lines in Portal 2?
585,What is steam app 210890?
958,How do you use sprays in Team Fortress 2?
538,MW3 Prestige Unlock One Item
1589,Minecraft servers not connecting
628,Is it possible to search for existings auctions of a rare item?
861,What difference will the more skillful (1 star or 2 star) crew members make compared to a non-skilled one in FTL?
1234,Is it possible to sell cars in single player?
1536,Can you get the rainbow jetpack back?
115,What is kiting?
1406,How To Easily Kill The Wall of Flesh
860,What alien bits should I sell?
945,Where are the save files located?
437,How to salvage Oblivion Walker Achievement after messing up Pieces of the Past
682,How to donate gold in Diablo 3?
880,Can Minecraft Pocket Edition play with a desktop Minecraft on LAN?
389,How can I improve my pickpocketing?
1217,What's the fastest way to make money online?
1426,Where is the ivory claw?
1553,How do I create multiple Minecraft installations?
616,What do those different symbols on achievements mean?
269,How would I go about divorcing my spouse?
1164,Who gives the quest leading to Volkrund Keep in Falskaar?
1051,What's the easiest way to make obsidian?
1039,Does where I aim my attack matter in Skyrim?
235,Can I get information about the covenant in-game in Dark Souls?
203,How do I remove a Steam game from my library?
646,What are the Pros and Cons of Using Two Handed Weapons as a Monk?
999,How do I delete a city to restart from zero?
286,Can I complete The Blessings of Nature without hurting the tree?
1271,Which (if any) mission changes are predetermined?
1270,Skyrim Follower More Than One
1555,Soloing Dungeons or How To Stop Those Pesky NPCs From Tagging Along
1338,What is the green progress bar in the hub display?
279,"How many ""organizations"" can you join? Do some block you from joining others?"
1184,How can I keep a monster spawner spawning whilst I'm away?
1457,How do I unlock the secret room in Dungeon Defenders
395,How do I get Steam to recognize a non-Steam game?
807,How do I earn Reaper Energy if I've sold my Grim Reaper Talsiman?
800,Becoming a vampire lord and getting bloodcursed arrows after curing Serana
926,A virtual machine to play old Windows 95 and 98 games that has CPU timing?
919,"Unit ""in combat"""
524,What caused Eve to die?
1504,(Does World of Warcraft have servers for all expansions?) Can I play old WoTLK?
359,"Can followers be used to keep stolen items from ""the law""?"
569,Are there any strategies for getting better weapons/items in Realm of the Mad God?
566,Opening the gate inside the center pit on level 4
648,What is the most optimal way to build Monk to in Inferno?
665,At what level do items start producing higher-tier crafting materials?
166,How do I change player name in minecraft multiplayer in offline mode in Linux?
248,How do you smelt ore?
424,What does the STAG City Takeover allow me to do?
183,Why do I need to delete the META-INF folder when installing mods?
518,Can I be both straight and gay?
1071,What determines which monsters my friends can hunt?
931,What is the advantage of VERY-RARE items over Common or Rare items?
479,Which Merc group is the best for the Aria T'Loak quests?
292,How do I use shout power levels?
537,Where can I find a Forsworn Briar Heart?
1519,Does Teemo Blind blocks Darius Ultimate?
334,Targeting Priorities in StarCraft 2
211,"How ""disadvantage"" works on Starcraft 2?"
1222,Where's my horse?
27,How do I cancel Xbox LIVE automatic renewal online?
1565,I'm stuck in Creative and God mode and lost in the Nether. How can I get out?
853,Where can I buy sawn logs for all the different plots in Hearthfire?
361,How to speed up minecraft on my computer
1130,Portal: The First Slice Demo Glitch
704,Do I need to own Diablo III to download and install the game?
703,How do I breed a Copper dragon?
1286,Can I choose specific floor types?
201,What blocks can the Enderman pick up and what blocks can't they pick up?
101,What are some tips for mastering redstone circuits?
414,Can the Mystery Watcher still be found?
1424,Which jobs are dependent on seasons and how?
1057,"What does the sorceress mean by being ""able to surpass yourself""?"
1469,How can I play Diablo 3 with a gamepad?
535,"If Mordakaiser's, Zilean's, and Yorick's ults are placed on a champion, in what order do the ults take place?"
642,"What does the ""goatman drum"" do?"
988,"How does Temple Run 2 measure ""Life-Time"" Coins?"
893,Why am I unable to unlock my new shouts?
605,How can I link an item in the chat?
892,Which rifle does the highest DPS with only headshots?
744,What is the effect of low durability in Diablo-3
29,"In StarCraft 2, is there a way to automatically set groups on units about to be produced?"
1267,How do you defeat royal ripeness in Final Fantasy XIII-2?
349,How do I get rich quick?
1260,How do I pass the forest stage on Candy Box 2?
236,What effect do neutral buffs have in League of Legends?
1263,Where do I get HM02 Fly?
687,"Is it possible to ""upgrade"" the crafting materials?"
435,Why does Lydia prefer an Ebony helmet over a Dragonplate one?
1345,How to get Drop of Prisoner's Honey?
1205,What Properties are available for purchase in Grand Theft Auto V?
996,How to skip tutorial?
1024,Does it make any difference if I choose the Bird or the Cage Brooch?
882,How to bind my controls permanently?
79,Can I run a steam game without updating it first?
346,"Where can I find an item that can be disenchanted to learn ""resist fire?"""
1471,Minecraft Not enough Items cheat mode disabled
1488,Are horadric caches bound to the act they were acquired from?
1384,Why does Minecraft on PC keep saying that it can't connect to a server?
1067,Is Kerrigan Level achievement bugged?
1254,Why is my ASCII art all wonky?
638,Is there any practical purpose to breaking stuff?
985,Is it possible to get Space Cadet 3D pinball on Vista?
206,What items can be farmed fully automatically?
1348,Where is Realms icon for 0.8.1?
1175,How does the NES Zapper work?
842,How do you progress to a new rank on the CS:GO Elo system?
369,How do I focus these crystals?
336,How can I get my army across the ocean?
714,Defending against the wasps in Act 2
871,Can ilvl 59-60 items compete with ilvl 61-63 items?
104,What combination of genre & type make for excellent combinations when developing a game?
52,How does road maintenance work?
917,Is it possible to get Steam to continue downloading a game while I'm playing?
679,Diablo 3 Difficulty scaling per added player
1434,How does the post-2.0 Puzzle Ring work?
1155,What are all possible ways to stop a zombie from despawning?
622,"what does the ""black mushroom"" good for in the full version of D3"
623,Does magic find on followers do anything?
1163,Reachwater Rock door problems?
1120,How is level determined?
178,Are Great Generals bonuses cumulative?
1291,EV training and leveling up
1074,How many levels are there for Steam Trading Card badges?
1324,How do you get fuel
1044,How do you get a triple perfect?
1047,can you use the same account on 2 different cd keys on Diablo 3?
1003,How do I manage Larvae in the Campaign maps?
1027,Can you change the outcome of the game's ending?
1014,Can legendaries be caught shiny in DPPt?
848,360 controller battery doesn't hold charge after unplugging Play & Charge Kit
774,"Is it possible to change from a member of the Dawnguard, to a Vampire Lord or vice versa (permanently)?"
749,Is there a way to move my character with the keyboard in Diablo 3?
383,Money making in Runescape
1333,Is it possible to automatically switch active unit in a group after cast in Dota 2?
575,"How do I get the “Jar of Souls” and ""Matriarch's Bones"" achievements?"
1246,Practical Solution For Giant Spike Balls
905,Is there any way to hide your Steam status from others?
594,Disadvantages of taking follower with you
366,leveling up in skyrim
499,What squad mates will I miss from not importing from the previous games?
544,What is the purpose of a Smurf account in League of Legends?
545,Is killing the dragon and losing a T1 tower a good exchange?
1568,How do I take off my pants in Animal Crossing: New Leaf?
1119,Is there a way to transfer money and items from iOS to Android?
541,What is the Meta Game?
493,What happens if I add a Steam game to Origin?
1040,Are there any bonuses for playing higher difficulties in Torchlight 2?
978,How can I gift a game via Origin?
959,How does currency work?
1330,Do passives triggers during a duel?
722,How can I see what my item was sold for at Auction?
1521,"""Refilling"" items in a chest"
1007,Is it possible to go back to Heart of the Swarm campaign missions after continuing?
1374,How to fix PCSX2 lag?
1437,What happens to your legacy when you transfer characters in SWTOR?
1001,How do regions handle the division of excess utility capacities?
382,What will I stand to gain from killing Paarthurnax and getting back in good standing with the Blades?
1478,Lost in the nether in creative mode
1515,Is there a way to play the Battle Maison with friends over online?
1185,Do I need to buy FFXIV:ARR if I already own FFXIV?
1087,minecraft button 1 takes me to menu every time
955,Why can't I copy files on a flashdrive between my Xbox 360 and my computer?
795,Diablo 3 same account
1026,"How do I set my level, unlocked weapon equip slots and playthrough mode?"
4,Can you play PlayStation 1 games on the PlayStation 3?
1581,Query about clash of clans - your own clan
1116,Where do you find a booze barrel?
1285,Can you use skylanders giants on the new swap force?
308,Why can't I buy the Windhelm house (Hjerim)?
1347,Making a mine craft server
297,Why are some dungeons not clearing for me?
1530,Is there anyway to get an onscreen map?
865,"How do I prevent rats from eating a corpse that I left unattended? Also, is this a bad thing?"
491,Am I supposed to know who James Vega is?
1140,What's the most efficient iron golem farm design for SMP?
99,How far should I place torches in a planar huge room?
1147,Are a Civ's Unique Buildings transformed when conquered?
61,Providing resources to cities when requested
1170,How can you duplicate weapons in Borderlands 2?
1506,Does putting a key in a capsule mean you can hack more?
1308,"Do elevator upgrades increase your passive credit earnings, too?"
1188,When does Janna's extra AD from her shield take effect?
972,What are the mob spawn distances?
837,Is there any way to respec?
1248,"What is the difference between Affection and Friendship, if any?"
96,How does animal spawning work?
1089,Can you access the photos you take with the camera?
1365,how do I start a 'New Game +' after beating it for the first time?
404,How do I find mushroom biomes?
405,Binding of Isaac achievements and Steam in-game not working
490,Do your squad members have a weight limit?
1034,Can the original Age of Empires II be played online with the HD version on Steam?
402,Can I play Dragon Age 2 without playing Dragon Age Origins?
196,What is the name of the genre of games similar to Jetpack Joyride?
1082,How can I remove water currents?
1172,Thieves Guild Skyrim - Return The Skeleton Key or Complete Jobs in Other Towns?
658,How do I get higher difficulty Plan: Staff of Herding?
21,What happens if I ignore the Tree-Hugging Elves?
208,How can I navigate and mine hell safely?
1206,Is there any advantage by choosing a specific army/castle type?
626,What level is recommended before starting Nightmare/Hell/Inferno?
153,If I stick a blank hard drive into my PS3 will it work?
733,How big is the world in Minecraft Pocket Edition?
1111,What items can be bought from the catalog?
763,How do I get rid of my missing animal follower?
25,What are good sources for Starcraft 2 replays?
1152,Is it competitively viable to use an un-evolved Pokemon?
830,What does Mad Moxxi's tip jar in Sanctuary do?
231,How to limit an older game's (DirectX 3) FPS speed? (USNF 97)
924,"When a portal is burned out, is it burned out for everyone?"
688,Solo Wizard Builds?
1354,What do you mean by the cards from voting for Community Choice Flash Sale?
1409,Online affect other accounts on the same platform?
681,Where are the Act 3 lore books?
498,How can I edit coalesced.bin so that I can use cheats and graphics tweaks?
1445,How do I take a snapshot with a laptop on 1.5.2 in Minecraft? F2 makes it dimmer
661,Do the Diablo 2 characters appear in Diablo 3?
268,Where are all the skill trainers?
32,Start another Borderlands playthrough
31,Do Guitar Hero peripherals work with Rock Band and vice versa?
1279,How to turn on the light in the dark room on candy box 2?
1192,Can i import my Diablo 3 demo character into the full console version?
34,Is LAN with StarCraft 2 definitely not possible?
22,Are there people who cheat around fog of war in Starcraft 2?
1416,At what point does arena become better value than boosters?
1218,How much time do we have to wait to sell another car?
1177,How much memory is needed to run a Minecraft Server in 1.6.2?
1023,How can Booker and Comstock meet?
122,Any way to round up animals in Minecraft?
1411,What is the fastest way to get candies?
801,guild wars 2 beta client same as the real client
1509,What do I do after defeating the Wall of Flesh?
358,What's the fastest way to find mineshafts?
1244,What is a good way to harrass Bloodseeker in the middle lane?
506,How do I get weapons to level X in singleplayer?
190,Does crouching improve accuracy with most ranged weapons?
1072,Do companions use up their enchantments?
530,Do firearms do different amount of damage to shield/armor/barrier like in Mass Effect 2?
169,How to counter Protoss' fast expand as zerg?
335,How do I open a locked path?
1017,How do I switch between expansion levels?
1198,Small Spoiler. Can I store 2 cars in a specific Safehouse Garage?
1404,"In Diablo 3, are Barbarians ever able to Dual wield 2 handed weapons?"
1525,What are the best troops to have in your Clan Castle in Clash of Clans?
413,Skyrim Very Long Load Times!
656,Can Starter Edition/guest pass characters carry into the Standard Edition?
903,Are there any advantages to stunning an alien besides being able to interrogate it?
500,How do I save Ashley?
186,Does time pass on a Minecraft SMP server if nobody is logged on?
671,What crowd control effects work on treasure demons?
651,Can I idle out of a game?
1523,Minecraft Failed To Bind Port
629,Where can I farm Pages/Tomes of Crafting?
1318,Can't connect to minecraft server on Hamachi anymore
450,How can I dispel a chest with my mouse?
1339,How do I send Twitch.tv chat messages in Minecraft?
1583,I get a ConcurrentModificationException when attempting to launch Minecraft with Forge
713,Why doesn't magic weapon have a buff indicator?
350,How do I get powdered mammoth tusk?
849,What is the precedence of Guardian Angel compared to other revive effects?
1259,What is redstone for?
244,What are the advantages/disadvantages of each race?
809,Is the order you pick based on your Elo?
1,"Refurbishing ""loose"" Xbox360 Controller"
588,Is it possible to re-spec a character that has already completed all quests?
536,When is the safest time to go for dragon/baron nashor?
324,How do I get a dragon to fight me?
1353,Why can't I Switch Batsuit?
1064,How do you access the locked area in Poseidon Plaza?
900,Chapter 5: Are there multiple Endings?
459,Can I capture monsters more than once?
573,How does dual wielding affect my damage output as a demon hunter?
161,Using a keyboard/mouse for XBox
1462,Can I skip Mass Effect 1 and go to Mass Effect 2
639,What affixes are available on items?
640,How does increased Magic Find work with chests?
1294,How to sell custom cars and planes in gta 5?
784,What will be the fastest way to level in Mists of Pandaria?
151,How can I choose the zoom level for my map?
219,Is there a way to merge user profiles on xbox360?
776,Who are the Steam Mascots?
1193,How do I stealth the 'Framing Frame' heist?
342,I've lost my wife. How can I find her?
680,Does Diamond Skin scale?
1475,Cannot find my infamous second son paper trail code
132,What's the story behind the drawings on the wall in Portal 2?
133,The Age of Empires II Scrolling Bug
970,Enchanting armor with Fortify Magicka Regen and Fortify [School]?
624,Are weapons and armor damaged by anything other than death?
1572,Rebuilding your house in Skyrim Xbox
18,How do I get my dwarfs inside?
1240,What are Natures? What do they do?
95,Can I use a wireless T-Mobile broadband connection to create an Xbox Live account and play online with it?
20,What's the best counter for Void Rays?
748,Does dodge dodge everything?
841,Is there a way to stop enemies from boarding?
840,Do bosses or boss encounters respawn?
1288,Three Man Army Achievement problems
307,What is the minimum level I need to be to get the strongest version of leveled items?
277,Can you sneak well with heavy armor compared to light or is there no difference?
822,Wich is the criteria to show in the game log that you purchased an item?
62,How do you walk and shoot?
1367,Microvolts on Steam came with 'XTrap'. Is it safe?
